id,postcode,title,update date,start date,end_date,country subentity,city,estimate overall contract amount,total amount,tax excslusive amount
798987,08039,Contratación de los Seguros Personales (Vida y Accidentes) de la Autoridad Portuaria de Barcelona. RSC: 122/12,2013-01-15,2012-07-01,No date available,Barcelona,Barcelona,68147.9,68147.9,68147.9
798988,38200,Servicio de mantenimiento de la electrónica de red común del IAC,2013-01-15,2012-12-19,No date available,ESPAÑA,la laguna,59375,47500,47500
742782,28006,Adquisición de repuestos para mantenimiento de equipos radio/multiplex en estaciones de anclaje y red terrena,2013-01-15,2012-11-27,2012-09-27,ESPAÑA,Madrid,123966.94,150000,123966.94
742327,28006,Adquisición de repuestos para mantenimiento de equipos de energia en estaciones de anclaje y red terrena,2013-01-15,2012-12-16,2012-09-27,ESPAÑA,Madrid,123966.94,150000,123966.94
783408,08029,"Suministro de equipos informáticos para Mutual Midat Cyclops, MATEPSS nº 1.",2013-01-15,No date available,2012-11-05,ESPAÑA,Barcelona,117000,141570,117000
798989,28200,"Autorización de uso del kiosco número 3 de la calle Floridablanca, de propiedad municipal.",2013-01-15,2013-03-01,2013-01-29,ESPAÑA,San Lorenzo de El Escorial,20000,5000,5000
783644,08174,"Contrato de suministro, mantenimiento e instalación de equipos y sistemas necesarios para la implantación de un control de presencia en los Servicios Centrales de EGARSAT MATEPSS Nº 276 sitos en Sant Cugat del Vallès.",2013-01-15,No date available,2012-11-05,ESPAÑA,Sant Cugat del Vallès,110000,133100,110000
798990,28040,Mantenimiento del Espectrómetro de masas de Alta Resolución para el año 2013,2013-01-15,2013-01-01,No date available,ESPAÑA,Madrid,No amount available,29778.02,24609.93
783173,28040,Creación de la oficina técnica para la dirección del proyecto desarrollo de centro de excelencia en gestión de la innovación de  la pyme en Extremadura.,2013-01-15,No date available,2012-11-10,ESPAÑA,Madrid,98347.11,119000,98347.11
789560,28003,Contratación de los servicios de mantenimiento de plantas y jardinería para su sede en Madrid.,2013-01-15,No date available,2012-11-28,ESPAÑA,Madrid,No amount available,22990,19000
783381,28014,"Servicio de transporte escolar del Ministerio de Educación, Cultura y Deporte en la Ciudad de Ceuta durante 2013. ",2013-01-15,No date available,2012-11-26,ESPAÑA,Madrid,436868,224987,218434
742779,28006,Adquisicion de repuestos para mantenimiento de equipos de RF en estaciones de anclaje y Red Terrena,2013-01-15,2012-12-16,2012-09-27,ESPAÑA,Madrid,144628.1,175000,144658.1
783985,14004,Servicio de limpieza de las distintas dependencias de la Subdelegación del Gobierno en Córdoba,2013-01-15,2013-04-01,No date available,ESPAÑA,Córdoba,68854.3,83313.7,68854.3
